locID;name;countryEN;countryRU;lat_deg;lat_deg_sign;lat_min;lat_sec;lon_deg;lon_deg_sign;lon_min;lon_sec;property;buffer;siteID;latitude;longitude;countryCode
1363-097;Bande - Corte Carpani;Italy;Италия;N45;45;22;16.88;E10;10;35;9.61;7.33 ha;36.4 ha;1363;45.3713556;10.5860028;ita
1363-098;Castellaro Lagusello - Fondo Tacoli;Italy;Италия;N45;45;22;9.34;E10;10;38;3.13;1.23 ha;59.04 ha;1363;45.3692611;10.6342028;ita
1363-099;Isolino Virginia-Camilla-Isola di San Biagio;Italy;Италия;N45;45;48;43.25;E8;8;43;5.02;3.79 ha;25.07 ha;1363;45.8120139;8.7180611;ita
1363-100;Bodio centrale o delle Monete;Italy;Италия;N45;45;47;47.15;E8;8;45;20.19;1.67 ha;28.55 ha;1363;45.7964306;8.7556083;ita
1363-101;Il Sabbione o settentrionale;Italy;Италия;N45;45;47;58.62;E8;8;38;55.64;1.18 ha;9.61 ha;1363;45.7996167;8.6487889;ita
1363-102;VI.1-Emissario;Italy;Италия;N45;45;25;5.74;E8;8;1;22.44;5.86 ha;852.77 ha;1363;45.4182611;8.0229;ita
1363-103;Mercurago;Italy;Италия;N45;45;44;1.71;E8;8;33;7.6;5.16 ha;270.06 ha;1363;45.7338083;8.5521111;ita
1363-104;Molina di Ledro;Italy;Италия;N45;45;52;26.86;E10;10;45;54.05;0.78 ha;2.31 ha;1363;45.8741278;10.7650139;ita
1363-105;Fiavé-Lago Carera;Italy;Италия;N45;45;59;24.35;E10;10;49;51.55;10.7 ha;73.92 ha;1363;45.9900972;10.8309861;ita
1363-106;Belvedere;Italy;Италия;N45;45;27;22.71;E10;10;39;30.31;2.52 ha;12.46 ha;1363;45.4563083;10.6584194;ita
1363-107;Frassino;Italy;Италия;N45;45;26;5.17;E10;10;39;47.51;1.48 ha;31.19 ha;1363;45.4347694;10.6631972;ita
1363-108;Tombola;Italy;Италия;N45;45;10;46.35;E11;11;12;40.5;1.51 ha;123.76 ha;1363;45.1795417;11.21125;ita
1363-109;Laghetto della Costa;Italy;Италия;N45;45;16;10.84;E11;11;44;32.68;1.56 ha;6.52 ha;1363;45.2696778;11.7424111;ita
1363-110;Kolišča na Igu, severna skupina;Slovenia;Словения;N45;45;58;32.32;E14;14;31;46.19;19.2 ha;516.65 ha;1363;45.9756444;14.5294972;svn
1363-111;Količa na Igu, južna skupina;Slovenia;Словения;N45;45;58;14.22;E14;14;32;29.84;26.1 ha;516.55 ha;1363;45.9706167;14.5416222;svn
1076rev-001;Jinghindagh mountain –Yazylytepe hill;Azerbaijan;Азербайджан;N40;40;12;0;E49;49;22;15;17.09 ha;1,032 ha;1076;40.2;49.3708333;aze
1076rev-002;Boyukdash mountain;Azerbaijan;Азербайджан;N40;40;7;30;E49;49;22;30;323.27 ha;1,032 ha;1076;40.125;49.375;aze
1076rev-003;Kichikdash mountain;Azerbaijan;Азербайджан;N40;40;3;45;E49;49;22;60;;;1076;40.0625;49.3833333;aze
1192ter-001;Core zone 1;Bahrain;Бахрейн;N26;26;14;3.99;E50;50;31;5.99;54.5 ha;1,311.8 ha;1192;26.2344417;50.5183306;bhr
1192ter-002;Core zone 2;Bahrain;Бахрейн;N26;26;14;36.7;E50;50;31;6.2;15.7 ha;;1192;26.2435278;50.5183889;bhr
1364rev-001;Hayr Bū-l-Thāmah;Bahrain;Бахрейн;N26;26;47;25.44;E50;50;54;42.84;5,659.13 ha;95,749.5 ha;1364;26.7904;50.9119;bhr
1364rev-002;Hayr Bū ‘Amāmah;Bahrain;Бахрейн;N26;26;48;27.04;E50;50;48;13.14;4,854.77 ha;;1364;26.8075111;50.80365;bhr
1364rev-003;Hayr Shtayyah;Bahrain;Бахрейн;N26;26;36;40.9;E50;50;48;55.84;24,569.6 ha;;1364;26.6113611;50.8155111;bhr
1364rev-004a;Bū Māhir Seashore;Bahrain;Бахрейн;N26;26;14;26.95;E50;50;36;47.92;2.1689 ha;94.3255 ha;1364;26.2408194;50.6133111;bhr
1364rev-004b;Qal‘at Bū Māhir;Bahrain;Бахрейн;N26;26;14;28.61;E50;50;36;48.64;0.1316 ha;;1364;26.2412806;50.6135111;bhr
1364rev-005;Al-Ghūṣ House;Bahrain;Бахрейн;N26;26;14;38.36;E50;50;36;51.08;0.0211 ha;0.2921 ha;1364;26.2439889;50.6141889;bhr
